# 1ST_READ.PRG suspect triage (Bucket 3 deliverable 5, 2026-07-19).
# The 555 Bucket-2 suspects (size<=4B, 0 callers) classified via flow
# reachability (tools/fn_extent.py): seed-artifact = interior to a real
# function's flow extent (over-seeding); real-function = valid start the
# detector undersized; data = pointer-table entry / non-code.
# addr	size	evidence	class
0x60381e4	4	prologue	seed-artifact
0x6038300	4	prologue	real-function
0x60383dc	4	prologue	seed-artifact
0x60387f4	4	prologue	seed-artifact
0x60389a2	4	prologue	seed-artifact
0x6038b08	4	prologue	seed-artifact
0x6038b74	4	prologue	seed-artifact
0x6038b78	4	prologue	seed-artifact
0x6038b7c	4	prologue	seed-artifact
0x6038b80	4	prologue	seed-artifact
0x6038b84	4	prologue	seed-artifact
0x6038c00	4	prologue	seed-artifact
0x6038cdc	4	prologue	seed-artifact
0x6038db0	4	prologue	seed-artifact
0x6038e08	4	prologue	seed-artifact
0x60391b0	4	prologue	seed-artifact
0x603934c	4	ptr32	seed-artifact
0x6039414	4	prologue	seed-artifact
0x60394c8	4	prologue	seed-artifact
0x6039ae8	4	prologue	seed-artifact
0x6039df0	4	prologue	seed-artifact
0x603a2ac	4	prologue	seed-artifact
0x603a2b0	4	prologue	seed-artifact
0x603a2f8	4	prologue	real-function
0x603ab10	4	prologue	seed-artifact
0x603ac9c	4	prologue	seed-artifact
0x603b080	4	prologue	seed-artifact
0x603c05e	4	prologue	seed-artifact
0x603cd78	4	prologue	seed-artifact
0x603cd7c	4	prologue	seed-artifact
0x603cd80	4	prologue	seed-artifact
0x603cfc0	4	prologue	seed-artifact
0x603d028	4	prologue	seed-artifact
0x603d02c	4	prologue	seed-artifact
0x603d030	4	prologue	seed-artifact
0x603d12c	4	prologue	seed-artifact
0x603d194	4	prologue	seed-artifact
0x603d4a8	4	prologue	seed-artifact
0x603d89c	4	prologue	seed-artifact
0x603dab8	4	prologue	seed-artifact
0x603dabc	4	prologue	seed-artifact
0x603dac0	4	prologue	seed-artifact
0x603dac4	4	prologue	seed-artifact
0x603dc0c	4	prologue	seed-artifact
0x603dc48	4	ptr32	data
0x603dd1c	4	prologue	seed-artifact
0x603de54	4	prologue	seed-artifact
0x603de6c	4	ptr32	data
0x603de70	4	ptr32	data
0x603de82	4	prologue	seed-artifact
0x603de9a	4	ptr32	data
0x603de9e	4	ptr32	data
0x603dee0	4	ptr32	seed-artifact
0x603df58	4	prologue	seed-artifact
0x603e1cc	4	prologue	seed-artifact
0x603e1d0	4	prologue	seed-artifact
0x603e2b4	4	prologue	seed-artifact
0x603e2b8	4	prologue	seed-artifact
0x603e354	4	prologue	seed-artifact
0x603e5b4	4	prologue	seed-artifact
0x603e794	4	prologue	seed-artifact
0x603e798	4	prologue	seed-artifact
0x603e850	4	prologue	seed-artifact
0x603e854	4	prologue	seed-artifact
0x603e858	4	prologue	seed-artifact
0x603e85c	4	prologue	seed-artifact
0x603e860	4	prologue	seed-artifact
0x603e990	4	prologue	seed-artifact
0x603eaec	4	prologue	seed-artifact
0x603ebf0	4	prologue	seed-artifact
0x603ed44	4	prologue	seed-artifact
0x603f2cc	4	prologue+jsr-pool+ptr32	real-function
0x603fbe0	4	prologue	seed-artifact
0x603fbe4	4	prologue	seed-artifact
0x6040658	4	prologue	seed-artifact
0x6040790	4	prologue	real-function
0x60407e0	4	prologue	seed-artifact
0x6040820	4	prologue	seed-artifact
0x6040824	4	prologue	seed-artifact
0x6040828	4	prologue	seed-artifact
0x6040874	4	prologue	seed-artifact
0x60408a0	4	prologue	seed-artifact
0x60408a4	4	prologue	seed-artifact
0x6040914	4	prologue	real-function
0x6040918	4	prologue	seed-artifact
0x604091c	4	prologue	seed-artifact
0x6040964	4	prologue	seed-artifact
0x60409e8	4	prologue	seed-artifact
0x60409ec	4	prologue	seed-artifact
0x6040a2c	4	prologue	seed-artifact
0x6040ac0	4	prologue	seed-artifact
0x6040ac4	4	prologue	seed-artifact
0x6040ac8	4	prologue	seed-artifact
0x6040b18	4	prologue	real-function
0x6040bc8	4	prologue	seed-artifact
0x6040c24	4	prologue	real-function
0x6040c50	4	prologue	real-function
0x6040c7c	4	prologue	real-function
0x6040cb0	4	prologue	seed-artifact
0x6040e18	4	prologue	seed-artifact
0x6040e1c	4	prologue	seed-artifact
0x6040e20	4	prologue	seed-artifact
0x6040ec8	4	prologue	seed-artifact
0x6040ecc	4	prologue	seed-artifact
0x6040ed0	4	prologue	seed-artifact
0x6040ed4	4	prologue	seed-artifact
0x6041058	4	prologue	seed-artifact
0x6041074	4	prologue	seed-artifact
0x6041280	4	prologue	seed-artifact
0x60412bc	4	prologue	seed-artifact
